old,new
start_date,start_date
end_date,end_date
status,status
progress,progress
duration_in_seconds,duration_in_seconds
finished,finished
recorded_date,recorded_date
response_id,response_id
distribution_channel,distribution_channel
user_language,user_language
q2,consent
q3,age
q4,gender
q5,nationality
q6,diet
q7,why_diet
q9_1,uk_definition
q9_2,aus_definition
q9_3,us_definition
q9_4,ireland_definition
q9_5,plant_based_definiton
q9_6,strict_veg_definition
q10,rank_reason
q8,perceive_vegan 
q14,describe_vegan
q13,define_vegan
q11,feedback
q8_topics,q8_topics